Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
04-APR-2025,18321.65,18339.7,17813.1,17882.85,260808358,11477.83
07-APR-2025,16734.7,17391.9,16712.45,17319.95,334054900,14298.86
08-APR-2025,17638.9,17792.45,17368.6,17681.75,236642178,11060.08
09-APR-2025,17704.9,17764.35,17541.9,17671.7,157809047,7920.15
11-APR-2025,17986.3,18064.65,17905.15,18002.7,190924912,9166.26
15-APR-2025,18471.95,18588.25,18327.1,18562.75,237848432,11021.18
16-APR-2025,18562.1,18572.55,18439.1,18560.0,143524182,7819.24
17-APR-2025,18545.95,18900.25,18403.55,18839.95,189012107,9988.75
21-APR-2025,18884.25,19181.5,18726.4,19164.0,201610766,9620.83
22-APR-2025,19200.95,19257.85,19087.3,19200.7,180152719,9688.32
23-APR-2025,19266.7,19508.4,19102.55,19487.6,172717884,10427.11
24-APR-2025,19470.25,19505.9,19368.85,19420.75,164963267,8856.0
25-APR-2025,19425.9,19521.75,18870.6,18986.25,171546976,10275.88
28-APR-2025,18948.15,19321.65,18933.3,19278.35,167312978,10710.01
29-APR-2025,19361.1,19471.8,19241.85,19322.65,215067315,12597.66
30-APR-2025,19343.95,19370.3,19173.9,19311.95,264328794,14541.7
02-MAY-2025,19262.0,19677.2,19244.85,19414.6,269825387,14024.3
05-MAY-2025,19557.15,19875.1,19543.0,19852.4,244731871,13192.1
06-MAY-2025,19954.25,19990.35,19590.2,19636.6,138802646,10108.88
07-MAY-2025,19366.4,19884.8,19363.4,19870.7,181136621,11011.25
08-MAY-2025,19918.75,19969.45,19391.65,19513.4,203599801,12507.82
09-MAY-2025,19095.4,19470.6,19095.4,19404.65,176051206,11376.24
12-MAY-2025,19937.6,20185.2,19898.85,20168.95,170448870,9568.74
13-MAY-2025,20133.55,20254.25,19940.05,20014.1,151681139,9729.55
14-MAY-2025,20023.05,20198.5,19932.15,20159.85,136632327,8738.09
15-MAY-2025,20175.9,20602.4,20108.75,20547.35,180772821,13941.84
16-MAY-2025,20584.75,20739.1,20526.15,20719.85,173245574,10303.85
19-MAY-2025,20733.6,20846.55,20683.35,20704.75,123211569,8213.52
20-MAY-2025,20771.5,20786.5,20231.0,20255.55,174155554,9633.58
21-MAY-2025,20269.2,20489.65,20190.35,20390.55,131601447,6775.11
22-MAY-2025,20335.6,20345.1,20158.5,20287.6,125939390,9710.32
23-MAY-2025,20335.9,20460.45,20274.8,20417.65,144340960,6833.98
26-MAY-2025,20416.75,20553.1,20395.25,20454.6,188799304,9727.44
27-MAY-2025,20416.0,20445.75,20228.2,20341.65,366369054,28019.95
28-MAY-2025,20376.1,20385.25,20239.8,20268.75,142182277,7725.05
29-MAY-2025,20350.25,20413.65,20259.4,20394.65,181912413,9841.95
30-MAY-2025,20382.4,20457.3,20258.4,20314.9,684635598,23930.71
02-JUN-2025,20282.5,20389.05,20187.0,20348.95,150955339,8698.54
03-JUN-2025,20427.25,20465.15,20221.25,20242.05,185077423,10187.16
04-JUN-2025,20247.55,20391.2,20238.75,20367.85,177405769,8639.58
05-JUN-2025,20478.95,20605.2,20403.9,20489.1,226078856,11585.69
06-JUN-2025,20512.05,20730.9,20447.3,20716.85,154407961,8615.44
09-JUN-2025,20816.9,20856.85,20785.2,20829.65,120142504,7452.04
10-JUN-2025,20889.45,20892.2,20763.45,20779.05,141051378,8443.98
11-JUN-2025,20808.6,20962.8,20779.4,20823.7,186893680,9801.24
12-JUN-2025,20834.9,20845.1,20404.35,20462.6,171507912,9146.88
13-JUN-2025,19966.75,20290.5,19966.6,20258.5,180450405,10052.04
16-JUN-2025,20231.35,20388.8,20098.3,20366.65,168061175,8795.74
17-JUN-2025,20379.2,20387.95,20167.3,20190.85,118502376,7188.0
18-JUN-2025,20173.35,20365.3,20136.6,20184.6,105288712,7093.12
19-JUN-2025,20182.65,20267.95,20100.95,20147.1,132052864,7827.6
20-JUN-2025,20150.8,20390.25,20128.55,20360.95,292163234,16647.44
23-JUN-2025,20200.65,20343.75,20126.7,20293.3,132540904,7104.15
24-JUN-2025,20559.55,20699.9,20467.75,20483.25,184969315,11463.82
25-JUN-2025,20606.05,20646.85,20559.25,20636.55,128682321,7413.3
26-JUN-2025,20696.55,20879.95,20675.25,20869.95,195882037,11707.88
27-JUN-2025,20922.15,21065.2,20880.55,20977.5,226164376,14069.16
30-JUN-2025,21036.8,21063.15,20944.95,20984.55,110441344,8516.64
01-JUL-2025,21019.05,21035.5,20886.7,20936.75,107911736,7622.97
02-JUL-2025,20932.55,21020.7,20889.75,20982.15,118917440,7538.67
03-JUL-2025,21028.75,21123.55,20966.45,20982.2,126616250,8506.57
04-JUL-2025,21011.6,21049.8,20919.35,21010.05,127791654,6356.98
07-JUL-2025,21009.35,21030.35,20951.6,21003.55,130312874,6175.32
08-JUL-2025,21025.35,21066.6,20885.1,21023.85,120771369,6523.48
09-JUL-2025,21013.3,21120.15,20987.2,21058.8,144943280,7560.57
10-JUL-2025,21110.65,21122.45,20977.2,21028.55,114592896,6838.09
11-JUL-2025,20990.15,21036.15,20738.2,20779.8,103438365,7407.22
14-JUL-2025,20819.0,20896.2,20754.0,20866.55,154578039,8787.22
15-JUL-2025,20918.75,21094.85,20899.9,21070.8,133840940,8655.42
16-JUL-2025,21047.9,21117.3,20937.85,21099.0,118538802,7491.87
17-JUL-2025,21109.3,21167.75,21030.3,21047.65,134880729,9121.57
18-JUL-2025,21083.0,21141.95,20928.45,20948.25,112381765,6672.91
21-JUL-2025,20944.95,21134.8,20813.4,21088.35,160913774,9396.22
22-JUL-2025,21243.55,21286.4,21071.15,21089.15,370095369,15364.62
23-JUL-2025,21129.15,21247.45,21119.55,21226.1,164575717,8174.83
24-JUL-2025,21211.8,21342.75,21208.65,21260.05,242016987,10600.11
