Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
30-MAY-2025,11287.0,11323.75,11203.45,11216.2,640125977,23816.34
02-JUN-2025,11194.3,11236.1,11137.8,11222.95,938021174,17671.2
03-JUN-2025,11244.25,11261.15,11133.55,11150.4,1804410364,21394.44
04-JUN-2025,11161.95,11190.05,11104.95,11178.4,557930723,15089.13
05-JUN-2025,11205.1,11274.1,11171.5,11220.65,404750286,16535.59
06-JUN-2025,11237.95,11407.75,11215.2,11395.85,632350404,23448.99
09-JUN-2025,11457.7,11468.05,11425.4,11457.85,441556368,17701.45
10-JUN-2025,11525.55,11531.4,11446.35,11484.9,395114338,19078.28
11-JUN-2025,11506.7,11537.4,11451.75,11474.65,348901103,13403.47
12-JUN-2025,11480.1,11497.4,11284.4,11303.95,339692402,14192.43
13-JUN-2025,11078.95,11239.95,11078.95,11224.35,343391859,12929.28
16-JUN-2025,11225.95,11347.8,11175.95,11331.35,321639839,11465.58
17-JUN-2025,11336.65,11360.85,11254.45,11264.15,304564576,12340.32
18-JUN-2025,11252.45,11306.0,11191.1,11226.55,290555132,13117.71
19-JUN-2025,11226.8,11255.4,11112.4,11141.05,364308388,13239.39
20-JUN-2025,11134.55,11284.95,11133.95,11268.3,485796490,23238.99
23-JUN-2025,11191.45,11295.5,11181.0,11260.8,273480212,11499.39
24-JUN-2025,11367.6,11457.5,11332.4,11351.55,486924217,20932.81
25-JUN-2025,11398.75,11418.8,11376.9,11411.65,319754385,14094.21
26-JUN-2025,11433.05,11560.9,11425.95,11550.55,430265712,23317.7
27-JUN-2025,11575.8,11630.1,11564.25,11605.1,568710879,29084.52
30-JUN-2025,11619.3,11630.8,11523.2,11553.9,389755077,15428.84
01-JUL-2025,11575.55,11587.1,11528.55,11567.45,472854195,15902.24
02-JUL-2025,11580.8,11603.3,11529.3,11592.7,400668009,17591.76
03-JUL-2025,11610.1,11653.6,11555.2,11562.1,372132909,15601.88
04-JUL-2025,11573.75,11586.25,11500.2,11571.35,244914948,9562.55
07-JUL-2025,11568.9,11596.25,11533.65,11555.3,245539443,10338.8
08-JUL-2025,11559.7,11634.35,11548.6,11626.1,277204018,13132.88
09-JUL-2025,11630.75,11631.45,11580.65,11601.6,281970936,13376.45
10-JUL-2025,11617.0,11631.3,11576.15,11585.25,257280029,13355.48
11-JUL-2025,11576.45,11618.8,11511.45,11524.2,253337956,11533.9
14-JUL-2025,11533.65,11573.7,11504.2,11548.8,324510283,12982.98
15-JUL-2025,11569.35,11595.55,11536.15,11574.0,382856010,12156.64
16-JUL-2025,11594.65,11601.1,11544.35,11584.0,344120485,14147.55
17-JUL-2025,11605.65,11607.25,11563.7,11581.9,286710839,15927.14
18-JUL-2025,11583.25,11610.35,11505.2,11525.5,318638399,17775.57
21-JUL-2025,11559.8,11627.3,11520.9,11618.65,362497197,15483.89
22-JUL-2025,11651.8,11658.8,11561.05,11568.85,284200333,14110.76
23-JUL-2025,11591.2,11597.35,11532.3,11588.4,281146878,16576.05
24-JUL-2025,11603.7,11604.05,11500.1,11541.1,365206274,13211.32
