,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
236,31-Oct-2023,EQ,132.5,133.65,130.75,131.95,133.5,133.25,132.44,147.15,87.0,"80,98,744","1,07,26,17,955.20","45,371"
237,30-Oct-2023,EQ,133.5,133.95,130.8,132.2,132.0,131.95,131.97,147.15,87.0,"90,52,085","1,19,46,25,050.90","41,779"
238,27-Oct-2023,EQ,129.25,132.85,129.25,128.85,132.5,132.2,131.81,147.15,87.0,"87,61,931","1,15,49,07,956.95","49,882"
239,26-Oct-2023,EQ,130.0,130.2,127.0,131.2,129.3,128.85,128.23,147.15,87.0,"1,81,67,694","2,32,96,64,982.15","82,224"
240,25-Oct-2023,EQ,132.5,134.65,129.25,132.7,131.2,131.2,132.02,147.15,87.0,"1,02,25,867","1,34,99,77,078.40","67,392"
241,23-Oct-2023,EQ,134.3,135.9,131.4,134.2,131.8,132.7,133.39,147.15,87.0,"1,93,33,777","2,57,89,85,958.15","74,906"
242,20-Oct-2023,EQ,136.7,136.9,133.5,137.0,134.1,134.2,134.77,147.15,87.0,"89,82,112","1,21,05,59,621.75","62,041"
243,19-Oct-2023,EQ,136.0,137.2,135.05,137.05,136.85,137.0,136.39,147.15,87.0,"77,75,836","1,06,05,25,671.85","60,578"
244,18-Oct-2023,EQ,138.75,138.95,136.4,138.55,137.1,137.05,137.42,147.15,87.0,"68,06,231","93,53,43,723.20","39,910"
245,17-Oct-2023,EQ,137.5,138.9,137.5,137.4,138.45,138.55,138.4,147.15,87.0,"60,76,896","84,10,68,550.80","40,858"
246,16-Oct-2023,EQ,137.0,137.9,136.55,137.45,137.3,137.4,137.36,147.15,87.0,"77,85,480","1,06,94,00,761.05","49,844"
