,Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
0,16-OCT-2023,19737.25,19781.3,19691.85,19731.75,180964341.0,14746.01
1,17-OCT-2023,19843.2,19849.75,19775.65,19811.5,185846716.0,16839.87
2,18-OCT-2023,19820.45,19840.95,19659.95,19671.1,198942937.0,18581.64
3,19-OCT-2023,19545.2,19681.8,19512.35,19624.7,230312163.0,23582.01
4,20-OCT-2023,19542.15,19593.8,19518.7,19542.65,198341255.0,17944.31
5,23-OCT-2023,19521.6,19556.85,19257.85,19281.75,176044288.0,16212.9
6,25-OCT-2023,19286.45,19347.3,19074.15,19122.15,225291741.0,19818.32
7,26-OCT-2023,19027.25,19041.7,18837.85,18857.25,300356469.0,28939.64
8,27-OCT-2023,18928.75,19076.15,18926.65,19047.25,205201044.0,19947.48
9,30-OCT-2023,19053.4,19158.5,18940.0,19140.9,180132492.0,17095.73
10,31-OCT-2023,19232.95,19233.7,19056.45,19079.6,206049341.0,19397.36
11,01-NOV-2023,19064.05,19096.05,18973.7,18989.15,194103279.0,18452.51
12,02-NOV-2023,19120.0,19175.25,19064.15,19133.25,245595109.0,19771.49
13,03-NOV-2023,19241.0,19276.25,19210.9,19230.6,189516123.0,17304.87
14,06-NOV-2023,19345.85,19423.0,19309.7,19411.75,180690631.0,16296.56
15,07-NOV-2023,19404.05,19423.5,19329.1,19406.7,198660124.0,18288.06
16,08-NOV-2023,19449.6,19464.4,19401.5,19443.5,194967997.0,17060.45
17,09-NOV-2023,19457.4,19463.9,19378.35,19395.3,208418472.0,19087.29
18,10-NOV-2023,19351.85,19451.3,19329.45,19425.35,152215785.0,12916.21
19,12-NOV-2023,19547.25,19547.25,19510.25,19525.55,37311902.0,2482.27
20,13-NOV-2023,19486.75,19494.4,19414.75,19443.55,189275733.0,13527.22
21,15-NOV-2023,19651.4,19693.2,19579.65,19675.45,291464988.0,24957.24
22,16-NOV-2023,19674.7,19875.25,19627.0,19765.2,282686669.0,26041.45
23,17-NOV-2023,19674.75,19806.0,19667.45,19731.8,236827462.0,21681.28
24,20-NOV-2023,19731.15,19756.45,19670.5,19694.0,173780543.0,16737.05
25,21-NOV-2023,19770.9,19829.1,19754.05,19783.4,194969012.0,17947.2
26,22-NOV-2023,19784.0,19825.55,19703.85,19811.85,184497984.0,17405.48
27,23-NOV-2023,19828.45,19875.15,19786.75,19802.0,170024085.0,15906.94
28,24-NOV-2023,19809.6,19832.85,19768.85,19794.7,145895044.0,14389.29
29,28-NOV-2023,19844.65,19916.85,19800.0,19889.7,229595031.0,23043.25
30,29-NOV-2023,19976.55,20104.65,19956.3,20096.6,236241768.0,22367.64
31,30-NOV-2023,20108.5,20158.7,20015.85,20133.15,486585349.0,48877.95
32,01-DEC-2023,20194.1,20291.55,20183.7,20267.9,265812566.0,22461.53
33,04-DEC-2023,20601.95,20702.65,20507.75,20686.8,381107418.0,33917.52
34,05-DEC-2023,20808.9,20864.05,20711.15,20855.1,421008350.0,41763.52
35,06-DEC-2023,20950.75,20961.95,20852.15,20937.7,359212958.0,35654.76
36,07-DEC-2023,20932.4,20941.25,20850.8,20901.15,274985308.0,24862.43
37,08-DEC-2023,20934.1,21006.1,20862.7,20969.4,292440768.0,27449.96
38,11-DEC-2023,20965.3,21026.1,20923.7,20997.1,212921451.0,21150.17
39,12-DEC-2023,21018.55,21037.9,20867.15,20906.4,244867128.0,25404.64
40,13-DEC-2023,20929.75,20950.0,20769.5,20926.35,260269318.0,25918.44
41,14-DEC-2023,21110.4,21210.9,21074.45,21182.7,334410589.0,32593.42
42,15-DEC-2023,21287.45,21492.3,21235.3,21456.65,508761756.0,50114.46
43,18-DEC-2023,21434.8,21482.8,21365.35,21418.65,249668965.0,23615.28
44,19-DEC-2023,21477.65,21505.05,21337.75,21453.1,249750062.0,23750.61
45,20-DEC-2023,21543.5,21593.0,21087.35,21150.15,363886229.0,30993.12
46,21-DEC-2023,21033.95,21288.35,20976.8,21255.05,277548079.0,26001.02
47,22-DEC-2023,21295.85,21390.5,21232.45,21349.4,284708918.0,27709.29
48,26-DEC-2023,21365.2,21477.15,21329.45,21441.35,219467748.0,20081.33
49,27-DEC-2023,21497.65,21675.75,21495.8,21654.75,256542963.0,23059.25
50,28-DEC-2023,21715.0,21801.45,21678.0,21778.7,393080755.0,35031.0
51,29-DEC-2023,21737.65,21770.3,21676.9,21731.4,270922276.0,23697.88
52,01-JAN-2024,21727.75,21834.35,21680.85,21741.9,153995217.0,14184.09
53,02-JAN-2024,21751.35,21755.6,21555.65,21665.8,263711568.0,25316.13
54,03-JAN-2024,21661.1,21677.0,21500.35,21517.35,311933117.0,32329.23
55,04-JAN-2024,21605.8,21685.65,21564.55,21658.6,339172697.0,30868.15
56,05-JAN-2024,21705.75,21749.6,21629.2,21710.8,309303266.0,26554.49
57,08-JAN-2024,21747.6,21763.95,21492.9,21513.0,231452935.0,21140.94
58,09-JAN-2024,21653.6,21724.45,21517.85,21544.85,228568589.0,24055.74
59,10-JAN-2024,21529.3,21641.85,21448.65,21618.7,216991926.0,20958.96
60,11-JAN-2024,21688.0,21726.5,21593.75,21647.2,212453866.0,23492.12
61,12-JAN-2024,21773.55,21928.25,21715.15,21894.55,294678459.0,30565.5
62,15-JAN-2024,22053.15,22115.55,21963.55,22097.45,345543523.0,29523.15
63,16-JAN-2024,22080.5,22124.15,21969.8,22032.3,292433764.0,24435.94
64,17-JAN-2024,21647.25,21851.5,21550.45,21571.95,455999867.0,47533.44
65,18-JAN-2024,21414.2,21539.4,21285.55,21462.25,387341268.0,39718.84
66,19-JAN-2024,21615.2,21670.6,21575.0,21622.4,343055124.0,34429.24
67,20-JAN-2024,21706.15,21720.3,21541.8,21571.8,162073740.0,13917.46
68,23-JAN-2024,21716.7,21750.25,21192.6,21238.8,449718534.0,48813.68
69,24-JAN-2024,21185.25,21482.35,21137.2,21453.95,407460664.0,41718.64
70,25-JAN-2024,21454.6,21459.0,21247.05,21352.6,418143077.0,40088.5
71,29-JAN-2024,21433.1,21763.25,21429.6,21737.6,376702289.0,34516.42
72,30-JAN-2024,21775.75,21813.05,21501.8,21522.1,375137333.0,32916.3
73,31-JAN-2024,21487.25,21741.35,21448.85,21725.7,410583065.0,41587.85
74,01-FEB-2024,21780.65,21832.95,21658.75,21697.45,332541208.0,34042.15
75,02-FEB-2024,21812.75,22126.8,21805.55,21853.8,442794738.0,38395.9
76,05-FEB-2024,21921.05,21964.3,21726.95,21771.7,440849699.0,33807.94
77,06-FEB-2024,21825.2,21951.4,21737.55,21929.4,370968111.0,32910.82
78,07-FEB-2024,22045.05,22053.3,21860.15,21930.5,346263704.0,30088.76
79,08-FEB-2024,22009.65,22011.05,21665.3,21717.95,491069786.0,41082.02
80,09-FEB-2024,21727.0,21804.45,21629.9,21782.5,349222850.0,31176.16
81,12-FEB-2024,21800.8,21831.7,21574.75,21616.05,287436165.0,23921.14
82,13-FEB-2024,21664.3,21766.8,21543.35,21743.25,365785766.0,29896.62
83,14-FEB-2024,21578.15,21870.85,21530.2,21840.05,359120861.0,32535.0
84,15-FEB-2024,21906.55,21953.85,21794.8,21910.75,345394395.0,29559.69
85,16-FEB-2024,22020.3,22068.65,21968.95,22040.7,343892935.0,30666.89
86,19-FEB-2024,22103.45,22186.65,22021.05,22122.25,218252325.0,21375.71
87,20-FEB-2024,22099.2,22215.6,22045.85,22196.95,295705319.0,26872.32
88,21-FEB-2024,22248.85,22249.4,21997.95,22055.05,364545679.0,29741.39
89,22-FEB-2024,22081.55,22252.5,21875.25,22217.45,343495136.0,33985.94
90,23-FEB-2024,22290.0,22297.5,22186.1,22212.7,225983194.0,24617.01
91,26-FEB-2024,22169.2,22202.15,22075.15,22122.05,207775504.0,20850.26
92,27-FEB-2024,22090.2,22218.25,22085.65,22198.35,252199186.0,24620.71
93,28-FEB-2024,22214.1,22229.15,21915.85,21951.15,202952371.0,20579.8
94,29-FEB-2024,21935.2,22060.55,21860.65,21982.8,360165824.0,40196.12
95,01-MAR-2024,22048.3,22353.3,22047.75,22338.75,351503075.0,29646.47
96,02-MAR-2024,22406.95,22419.55,22367.05,22378.4,35763814.0,1918.77
97,04-MAR-2024,22403.5,22440.9,22358.3,22405.6,298794435.0,23771.71
98,05-MAR-2024,22371.25,22416.9,22269.15,22356.3,296153036.0,29165.37
99,06-MAR-2024,22327.5,22497.2,22224.35,22474.05,312262560.0,31029.01
100,07-MAR-2024,22505.3,22525.65,22430.0,22493.55,379865142.0,33558.46
101,11-MAR-2024,22517.5,22526.6,22307.25,22332.65,277897373.0,27222.37
102,12-MAR-2024,22334.45,22452.55,22256.0,22335.7,299201167.0,29781.12
103,13-MAR-2024,22432.2,22446.75,21905.65,21997.7,493341697.0,40109.23
104,14-MAR-2024,21982.55,22204.6,21917.5,22146.65,426742460.0,37348.3
105,15-MAR-2024,22064.85,22120.9,21931.7,22023.35,661460455.0,60260.88
106,18-MAR-2024,21990.1,22123.7,21916.55,22055.7,356321519.0,23015.51
107,19-MAR-2024,21946.45,21978.3,21793.1,21817.45,344157465.0,30291.6
108,20-MAR-2024,21843.9,21930.9,21710.2,21839.1,312414696.0,28939.85
109,21-MAR-2024,21989.9,22080.95,21941.3,22011.95,353172434.0,31258.4
110,22-MAR-2024,21932.2,22180.7,21883.3,22096.75,388656439.0,39023.19
111,26-MAR-2024,21947.9,22073.2,21947.55,22004.7,328403719.0,33382.08
112,27-MAR-2024,22053.95,22193.6,22052.85,22123.65,409136866.0,38830.73
113,28-MAR-2024,22163.6,22516.0,22163.6,22326.9,407422815.0,45656.57
114,01-APR-2024,22455.0,22529.95,22427.75,22462.0,243637071.0,21420.69
115,02-APR-2024,22458.8,22497.6,22388.15,22453.3,289524237.0,27940.93
116,03-APR-2024,22385.7,22521.1,22346.5,22434.65,309647491.0,30793.28
117,04-APR-2024,22592.1,22619.0,22303.8,22514.65,400986156.0,40705.56
118,05-APR-2024,22486.4,22537.6,22427.6,22513.7,242244731.0,24797.82
119,08-APR-2024,22578.35,22697.3,22550.35,22666.3,227633561.0,22480.2
120,09-APR-2024,22765.1,22768.4,22612.25,22642.75,232356772.0,21651.69
